Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ukraine,23.29999924,28.7082634,35.27000046,40.95412827,46.23597717,48.88464355,53.00096893,58.88948059,62.55315399,70.12484741,75.03791046
United Arab Emirates,68,78,84.99999237,88,90.40000153,90.5,90.6000061,94.8199234,98.45000458,99.15000153,100
United Kingdom,85,85.37999725,87.47999573,89.84410095,91.61000061,92.00029755,94.77580261,90.42455292,90.69200897,92.51663208,94.81819916
United States,71.69000244,69.72946167,74.69999695,71.40000153,73,74.55419922,85.54441833,87.27488708,88.49890137,89.43028259,90.90000153
United States Virgin Islands,31.21999931,35.59999847,40.54790115,45.29999924,50.06999969,54.83913803,59.60831451,64.37749481,,,
Upper middle income,34.87931061,39.41376495,43.5828743,46.77173996,49.37331009,52.61857986,56.08361435,58.68130493,63.11425781,67.65450287,73.37981415
Uruguay,46.40000153,51.40465927,54.45376968,57.68999863,61.45999908,64.57078552,66.40000153,70.32235718,80.72684479,83.35153198,86.09999847
Uzbekistan,15.89999962,18.60000038,23.60000038,26.79999924,35.5,42.79999924,46.79128647,48.69999695,55.20000076,70.40000153,71.09999847
Vanuatu,8,9.199999809,10.59799957,11.30000019,18.79999924,22.35140419,24,25.7197876,,,
Venezuela,37.36999893,40.22000122,49.05008316,54.90000153,57,58,60,61.59999847,,,
Vietnam,30.64999962,35.06999969,36.79999924,38.5,41,45,53,58.13999939,69.84793091,68.66158295,70.30000305
Yemen,12.35000038,14.90499973,17.44650078,20,22.54999924,24.08540916,24.57920837,26.71835518,,,
Zambia,3,3.5,4.099999905,4.800000191,6.5,8.800000191,10.30000019,12.19999981,14.29999733,16.79999924,19.79999924
Zimbabwe,6.400000095,8.399999619,12,15.5,16.36474037,22.74281883,23.1199894,24.39999962,25,25.10000038,29.29999924
